lambda,rep,t2star_us,amplitude,n_points,fit_meta
0.0,0,9.603282783355823,0.40848000512159527,15,"{""a"": 0.40848000512159527, ""c"": 0.4981048980776358, ""r2"": 0.7046592184538122, ""T"": 9.603282783355823}"
0.0,1,8.976378388997102,0.4372327372032904,15,"{""a"": 0.4372327372032904, ""c"": 0.49143584048632527, ""r2"": 0.712481573938786, ""T"": 8.976378388997102}"
0.0,2,0.22210126831717503,0.40364187376228877,15,"{""a"": 0.40364187376228877, ""c"": 0.513358125123182, ""r2"": 0.5372911560315649, ""T"": 0.22210126831717503}"
0.0,3,9.418320080594155,0.4384146128555628,15,"{""a"": 0.4384146128555628, ""c"": 0.4880705513752621, ""r2"": 0.6868245877160432, ""T"": 9.418320080594155}"
0.0,4,8.453321225139462,0.41863983898385493,15,"{""a"": 0.41863983898385493, ""c"": 0.4984303988914568, ""r2"": 0.728516102059304, ""T"": 8.453321225139462}"
0.0,5,9.09715091778789,0.44063137217489023,15,"{""a"": 0.44063137217489023, ""c"": 0.4954679146209807, ""r2"": 0.7443072818127185, ""T"": 9.09715091778789}"
0.0,6,9.521734592162352,0.4204635060237612,15,"{""a"": 0.4204635060237612, ""c"": 0.49051723811321024, ""r2"": 0.7137472454330307, ""T"": 9.521734592162352}"
0.0,7,8.588665837159395,0.42280417584901536,15,"{""a"": 0.42280417584901536, ""c"": 0.4967005821887095, ""r2"": 0.7610104218553261, ""T"": 8.588665837159395}"
0.0,8,8.707671019653596,0.4406121616917083,15,"{""a"": 0.4406121616917083, ""c"": 0.4846038575649059, ""r2"": 0.6805955422891834, ""T"": 8.707671019653596}"
0.0,9,9.66748425247274,0.4253218168486856,15,"{""a"": 0.4253218168486856, ""c"": 0.49263506854966566, ""r2"": 0.7176996701072287, ""T"": 9.66748425247274}"
0.1,0,9.122549604825917,0.4248322318971603,15,"{""a"": 0.4248322318971603, ""c"": 0.4912758853011275, ""r2"": 0.7422070306551798, ""T"": 9.122549604825917}"
0.1,1,8.083581631849288,0.4008858316998154,15,"{""a"": 0.4008858316998154, ""c"": 0.5018691757227813, ""r2"": 0.6857507773498684, ""T"": 8.083581631849288}"
0.1,2,8.91064680192057,0.4275638243913712,15,"{""a"": 0.4275638243913712, ""c"": 0.49450856290666223, ""r2"": 0.7204343288733768, ""T"": 8.91064680192057}"
0.1,3,7.858004243051913,0.4186479841738476,15,"{""a"": 0.4186479841738476, ""c"": 0.4906498818978784, ""r2"": 0.6985473771320105, ""T"": 7.858004243051913}"
0.1,4,7.75527508723214,0.40974435578317236,15,"{""a"": 0.40974435578317236, ""c"": 0.4991297401691153, ""r2"": 0.7692299048370064, ""T"": 7.75527508723214}"
0.1,5,10.105307515523736,0.41007914457799455,15,"{""a"": 0.41007914457799455, ""c"": 0.48645555517872074, ""r2"": 0.6910951157201783, ""T"": 10.105307515523736}"
0.1,6,8.499199006285046,0.41906970311899105,15,"{""a"": 0.41906970311899105, ""c"": 0.492910194658985, ""r2"": 0.6877378787409145, ""T"": 8.499199006285046}"
0.1,7,9.750724518263102,0.42137012981917854,15,"{""a"": 0.42137012981917854, ""c"": 0.48829642068252876, ""r2"": 0.739411602117965, ""T"": 9.750724518263102}"
0.1,8,9.416533882180225,0.43603726744428245,15,"{""a"": 0.43603726744428245, ""c"": 0.4845459944536425, ""r2"": 0.7610774741289463, ""T"": 9.416533882180225}"
0.1,9,9.911160399978161,0.42995026406802295,15,"{""a"": 0.42995026406802295, ""c"": 0.4880552319420143, ""r2"": 0.7169244794915266, ""T"": 9.911160399978161}"
0.2,0,10.256874971954057,0.40790514624159185,15,"{""a"": 0.40790514624159185, ""c"": 0.489052308386304, ""r2"": 0.7601548202089569, ""T"": 10.256874971954057}"
0.2,1,9.913961434557454,0.44304041384261544,15,"{""a"": 0.44304041384261544, ""c"": 0.48704654122379404, ""r2"": 0.7054854890819499, ""T"": 9.913961434557454}"
0.2,2,8.18516767165856,0.4051691637763441,15,"{""a"": 0.4051691637763441, ""c"": 0.5022582140278089, ""r2"": 0.6533754877345666, ""T"": 8.18516767165856}"
0.2,3,8.704161574459679,0.414225321633142,15,"{""a"": 0.414225321633142, ""c"": 0.4980022712279712, ""r2"": 0.6887515437947078, ""T"": 8.704161574459679}"
0.2,4,7.730103426512052,0.43904083174042563,15,"{""a"": 0.43904083174042563, ""c"": 0.4911113859293743, ""r2"": 0.7119807604205793, ""T"": 7.730103426512052}"
0.2,5,9.21358538155799,0.4101632209324516,15,"{""a"": 0.4101632209324516, ""c"": 0.4906311328151103, ""r2"": 0.6952430286213113, ""T"": 9.21358538155799}"
0.2,6,8.492808160278736,0.43427495272333505,15,"{""a"": 0.43427495272333505, ""c"": 0.48677575114583826, ""r2"": 0.7167721908862321, ""T"": 8.492808160278736}"
0.2,7,7.123322321965911,0.4190494932720324,15,"{""a"": 0.4190494932720324, ""c"": 0.48802619121278257, ""r2"": 0.6977005183564835, ""T"": 7.123322321965911}"
0.2,8,0.23096894239823498,0.40435714322143823,15,"{""a"": 0.40435714322143823, ""c"": 0.5136428571149259, ""r2"": 0.5213436810393702, ""T"": 0.23096894239823498}"
0.2,9,9.609764435314501,0.4256238322741206,15,"{""a"": 0.4256238322741206, ""c"": 0.49771621571267416, ""r2"": 0.6690432468649798, ""T"": 9.609764435314501}"
0.3,0,8.883246130505547,0.4233831990942202,15,"{""a"": 0.4233831990942202, ""c"": 0.49651938228848613, ""r2"": 0.7585651531964153, ""T"": 8.883246130505547}"
0.3,1,9.399505451012299,0.4314483020925923,15,"{""a"": 0.4314483020925923, ""c"": 0.48492098262852795, ""r2"": 0.7157743544188342, ""T"": 9.399505451012299}"
0.3,2,8.125564942412705,0.40927967693082434,15,"{""a"": 0.40927967693082434, ""c"": 0.502607521463221, ""r2"": 0.7059727763210286, ""T"": 8.125564942412705}"
0.3,3,7.306659779341389,0.43269260859107833,15,"{""a"": 0.43269260859107833, ""c"": 0.48934006757278536, ""r2"": 0.6838662080830942, ""T"": 7.306659779341389}"
0.3,4,9.064706778364469,0.45466854245785315,15,"{""a"": 0.45466854245785315, ""c"": 0.4862848940769307, ""r2"": 0.6988900348009721, ""T"": 9.064706778364469}"
0.3,5,8.738673777818608,0.44293521530157653,15,"{""a"": 0.44293521530157653, ""c"": 0.4874513838096751, ""r2"": 0.7066807681950529, ""T"": 8.738673777818608}"
0.3,6,9.775336843854497,0.44006905363899623,15,"{""a"": 0.44006905363899623, ""c"": 0.4841152930392765, ""r2"": 0.6994665614354293, ""T"": 9.775336843854497}"
0.3,7,8.583272846915953,0.42534705418434043,15,"{""a"": 0.42534705418434043, ""c"": 0.4928446066440583, ""r2"": 0.7088876003162258, ""T"": 8.583272846915953}"
0.3,8,8.044264116804566,0.43532354441494814,15,"{""a"": 0.43532354441494814, ""c"": 0.49242633287060045, ""r2"": 0.7232260519024596, ""T"": 8.044264116804566}"
0.3,9,9.899022628894823,0.4260459631653409,15,"{""a"": 0.4260459631653409, ""c"": 0.48695090959499, ""r2"": 0.7092616044102161, ""T"": 9.899022628894823}"
0.4,0,8.802168361574777,0.4138759182124901,15,"{""a"": 0.4138759182124901, ""c"": 0.5004744107825649, ""r2"": 0.6492898410972364, ""T"": 8.802168361574777}"
0.4,1,8.62384402673933,0.4299415451734467,15,"{""a"": 0.4299415451734467, ""c"": 0.4863568243711981, ""r2"": 0.6941651207388134, ""T"": 8.62384402673933}"
0.4,2,8.08994003263599,0.40718697040570334,15,"{""a"": 0.40718697040570334, ""c"": 0.5002641698490642, ""r2"": 0.725292724432985, ""T"": 8.08994003263599}"
0.4,3,9.29938480831718,0.42702423253496347,15,"{""a"": 0.42702423253496347, ""c"": 0.49387264467029307, ""r2"": 0.7127614547097546, ""T"": 9.29938480831718}"
0.4,4,9.583773330975701,0.42594932983137485,15,"{""a"": 0.42594932983137485, ""c"": 0.4859611086000465, ""r2"": 0.7348506299521644, ""T"": 9.583773330975701}"
0.4,5,10.118703927333891,0.41515606115910003,15,"{""a"": 0.41515606115910003, ""c"": 0.4934122790295157, ""r2"": 0.7134724554958216, ""T"": 10.118703927333891}"
0.4,6,10.553021317020852,0.44449476431328316,15,"{""a"": 0.44449476431328316, ""c"": 0.47835807186796736, ""r2"": 0.7079364250581324, ""T"": 10.553021317020852}"
0.4,7,9.403454458043829,0.4263933227902003,15,"{""a"": 0.4263933227902003, ""c"": 0.4975478355291364, ""r2"": 0.6906937159550269, ""T"": 9.403454458043829}"
0.4,8,9.675786018417387,0.41017733471326634,15,"{""a"": 0.41017733471326634, ""c"": 0.4982889556644152, ""r2"": 0.7081342911233144, ""T"": 9.675786018417387}"
0.4,9,10.805193307020863,0.43705523306208355,15,"{""a"": 0.43705523306208355, ""c"": 0.4807085984619328, ""r2"": 0.7393801193964599, ""T"": 10.805193307020863}"
0.5,0,9.27045163823144,0.42496832718422034,15,"{""a"": 0.42496832718422034, ""c"": 0.49072851641342563, ""r2"": 0.7239096063181227, ""T"": 9.27045163823144}"
0.5,1,9.570398021895215,0.43515020614772687,15,"{""a"": 0.43515020614772687, ""c"": 0.4866160618906533, ""r2"": 0.7529896761827355, ""T"": 9.570398021895215}"
0.5,2,9.754322105643665,0.43919511662347394,15,"{""a"": 0.43919511662347394, ""c"": 0.4821520783912039, ""r2"": 0.734724207891357, ""T"": 9.754322105643665}"
0.5,3,8.729255248161422,0.4211654936973921,15,"{""a"": 0.4211654936973921, ""c"": 0.4927071739677088, ""r2"": 0.7398084832474694, ""T"": 8.729255248161422}"
0.5,4,8.987435339491462,0.4157584014670604,15,"{""a"": 0.4157584014670604, ""c"": 0.4913007421685808, ""r2"": 0.6744014570449286, ""T"": 8.987435339491462}"
0.5,5,8.6781693786678,0.43572843695189295,15,"{""a"": 0.43572843695189295, ""c"": 0.4977601600929323, ""r2"": 0.69275702053914, ""T"": 8.6781693786678}"
0.5,6,8.481934767114467,0.4377998917696073,15,"{""a"": 0.4377998917696073, ""c"": 0.4833016427629608, ""r2"": 0.6873889857106925, ""T"": 8.481934767114467}"
0.5,7,9.444947398648354,0.420104223699863,15,"{""a"": 0.420104223699863, ""c"": 0.4875311387046967, ""r2"": 0.6943833141441035, ""T"": 9.444947398648354}"
0.5,8,9.458461452177641,0.42042564705860763,15,"{""a"": 0.42042564705860763, ""c"": 0.48798577045541675, ""r2"": 0.6937804209368915, ""T"": 9.458461452177641}"
0.5,9,0.14267903738533505,0.3882134054726425,15,"{""a"": 0.3882134054726425, ""c"": 0.5157865550556049, ""r2"": 0.5468047733185109, ""T"": 0.14267903738533505}"
0.6,0,9.755857450328962,0.41936172067240535,15,"{""a"": 0.41936172067240535, ""c"": 0.4940465150482275, ""r2"": 0.7072228083003766, ""T"": 9.755857450328962}"
0.6,1,9.681816362456413,0.4287689303923064,15,"{""a"": 0.4287689303923064, ""c"": 0.48845865363032637, ""r2"": 0.7155753185158169, ""T"": 9.681816362456413}"
0.6,2,8.956185408360422,0.4369847248538282,15,"{""a"": 0.4369847248538282, ""c"": 0.489528366248962, ""r2"": 0.7458529128302419, ""T"": 8.956185408360422}"
0.6,3,8.630851741884065,0.4404140335189276,15,"{""a"": 0.4404140335189276, ""c"": 0.48534105828136914, ""r2"": 0.7471955379223981, ""T"": 8.630851741884065}"
0.6,4,8.789511545697327,0.424798652078417,15,"{""a"": 0.424798652078417, ""c"": 0.49559156413144784, ""r2"": 0.6851724175058667, ""T"": 8.789511545697327}"
0.6,5,9.478509547603956,0.4227101706977176,15,"{""a"": 0.4227101706977176, ""c"": 0.49472970165696595, ""r2"": 0.734053803176058, ""T"": 9.478509547603956}"
0.6,6,8.288916992408833,0.4212043461439177,15,"{""a"": 0.4212043461439177, ""c"": 0.4963987767590748, ""r2"": 0.7105581478793156, ""T"": 8.288916992408833}"
0.6,7,9.422041647546806,0.45137011448869147,15,"{""a"": 0.45137011448869147, ""c"": 0.48518853928449446, ""r2"": 0.7430457858052394, ""T"": 9.422041647546806}"
0.6,8,10.015372869537176,0.4340035628329357,15,"{""a"": 0.4340035628329357, ""c"": 0.4888437320269077, ""r2"": 0.7650372175942781, ""T"": 10.015372869537176}"
0.6,9,8.25412499608618,0.43383935835735676,15,"{""a"": 0.43383935835735676, ""c"": 0.49131467056738637, ""r2"": 0.7165045915466692, ""T"": 8.25412499608618}"
0.7,0,8.996607791955665,0.45235572511863975,15,"{""a"": 0.45235572511863975, ""c"": 0.48923563787242963, ""r2"": 0.7858753933009017, ""T"": 8.996607791955665}"
0.7,1,9.526066466179763,0.43480539774578214,15,"{""a"": 0.43480539774578214, ""c"": 0.4925320987631758, ""r2"": 0.7184852643443248, ""T"": 9.526066466179763}"
0.7,2,9.36649251939197,0.43447500479884466,15,"{""a"": 0.43447500479884466, ""c"": 0.48488450640550645, ""r2"": 0.7164379692098278, ""T"": 9.36649251939197}"
0.7,3,8.718620129935436,0.41265486415332364,15,"{""a"": 0.41265486415332364, ""c"": 0.48986149276165436, ""r2"": 0.6676559428823279, ""T"": 8.718620129935436}"
0.7,4,9.452823696035747,0.4347541729479644,15,"{""a"": 0.4347541729479644, ""c"": 0.4833077434541547, ""r2"": 0.6882369592627391, ""T"": 9.452823696035747}"
0.7,5,10.109448120220232,0.4328868295190456,15,"{""a"": 0.4328868295190456, ""c"": 0.4878052207618826, ""r2"": 0.7908339136451463, ""T"": 10.109448120220232}"
0.7,6,9.245759323522247,0.41731967689803806,15,"{""a"": 0.41731967689803806, ""c"": 0.49766408712132615, ""r2"": 0.7533521207109514, ""T"": 9.245759323522247}"
0.7,7,9.553637069176247,0.4452722386693161,15,"{""a"": 0.4452722386693161, ""c"": 0.4787786044483778, ""r2"": 0.7225318005873911, ""T"": 9.553637069176247}"
0.7,8,8.974407604147236,0.44559605238351246,15,"{""a"": 0.44559605238351246, ""c"": 0.4845210543802826, ""r2"": 0.6891089451907624, ""T"": 8.974407604147236}"
0.7,9,10.697220366292107,0.4262942083363304,15,"{""a"": 0.4262942083363304, ""c"": 0.48678411642968095, ""r2"": 0.6958862782820232, ""T"": 10.697220366292107}"
0.8,0,9.450289159655593,0.43232220078943495,15,"{""a"": 0.43232220078943495, ""c"": 0.4920590264764565, ""r2"": 0.7542524135211461, ""T"": 9.450289159655593}"
0.8,1,9.198351130510574,0.4267404187858201,15,"{""a"": 0.4267404187858201, ""c"": 0.4909574368899629, ""r2"": 0.7339534458468522, ""T"": 9.198351130510574}"
0.8,2,8.614086496129058,0.4244369200145035,15,"{""a"": 0.4244369200145035, ""c"": 0.49684602366225467, ""r2"": 0.6920848532519943, ""T"": 8.614086496129058}"
0.8,3,9.747719415210636,0.4310199729472348,15,"{""a"": 0.4310199729472348, ""c"": 0.49845430385521405, ""r2"": 0.7241313527183498, ""T"": 9.747719415210636}"
0.8,4,10.525978310866865,0.4178693651596619,15,"{""a"": 0.4178693651596619, ""c"": 0.4936208720818524, ""r2"": 0.7191144857338738, ""T"": 10.525978310866865}"
0.8,5,10.39723614330293,0.44215158517719577,15,"{""a"": 0.44215158517719577, ""c"": 0.48649104904352997, ""r2"": 0.6921019392483967, ""T"": 10.39723614330293}"
0.8,6,9.879216520357614,0.43657647095231555,15,"{""a"": 0.43657647095231555, ""c"": 0.4806498450130068, ""r2"": 0.7561620328321556, ""T"": 9.879216520357614}"
0.8,7,9.077520661498557,0.4285221810896583,15,"{""a"": 0.4285221810896583, ""c"": 0.47940821426108093, ""r2"": 0.7065062010156329, ""T"": 9.077520661498557}"
0.8,8,9.492777675010503,0.41997956905842143,15,"{""a"": 0.41997956905842143, ""c"": 0.49799615724852253, ""r2"": 0.7281348663666656, ""T"": 9.492777675010503}"
0.8,9,9.552688388074063,0.43291256942811085,15,"{""a"": 0.43291256942811085, ""c"": 0.4797960344488052, ""r2"": 0.7310555061202846, ""T"": 9.552688388074063}"
0.9,0,8.803224097272402,0.42664811682715065,15,"{""a"": 0.42664811682715065, ""c"": 0.4962139050211194, ""r2"": 0.7451467751519814, ""T"": 8.803224097272402}"
0.9,1,9.148525879922108,0.420919248966217,15,"{""a"": 0.420919248966217, ""c"": 0.49409688312912775, ""r2"": 0.6691517618514642, ""T"": 9.148525879922108}"
0.9,2,9.11995324545964,0.41282523347334316,15,"{""a"": 0.41282523347334316, ""c"": 0.49135278542488187, ""r2"": 0.6870557973365552, ""T"": 9.11995324545964}"
0.9,3,9.403840274881645,0.4211868217251341,15,"{""a"": 0.4211868217251341, ""c"": 0.4944699629529376, ""r2"": 0.741242671807335, ""T"": 9.403840274881645}"
0.9,4,9.939883156263912,0.42571729503773104,15,"{""a"": 0.42571729503773104, ""c"": 0.4930598290135621, ""r2"": 0.712408125134075, ""T"": 9.939883156263912}"
0.9,5,9.164975648218467,0.4516013449522009,15,"{""a"": 0.4516013449522009, ""c"": 0.48808963318707693, ""r2"": 0.7180839700184762, ""T"": 9.164975648218467}"
0.9,6,9.689361008014595,0.4249447071467584,15,"{""a"": 0.4249447071467584, ""c"": 0.4819427473773707, ""r2"": 0.6629003766768494, ""T"": 9.689361008014595}"
0.9,7,9.935172347129813,0.4220722390838186,15,"{""a"": 0.4220722390838186, ""c"": 0.4911022321182184, ""r2"": 0.725392767143805, ""T"": 9.935172347129813}"
0.9,8,9.935764773933677,0.4432151576745965,15,"{""a"": 0.4432151576745965, ""c"": 0.49182077863568024, ""r2"": 0.7577484932471058, ""T"": 9.935764773933677}"
0.9,9,8.933897149805587,0.4194228319037798,15,"{""a"": 0.4194228319037798, ""c"": 0.485196036904381, ""r2"": 0.7344748389059518, ""T"": 8.933897149805587}"
1.0,0,9.145715169532561,0.42560245647360834,15,"{""a"": 0.42560245647360834, ""c"": 0.49578388889822783, ""r2"": 0.714452686959445, ""T"": 9.145715169532561}"
1.0,1,9.153351286689102,0.4219084204409674,15,"{""a"": 0.4219084204409674, ""c"": 0.4935049195479852, ""r2"": 0.7691408927200023, ""T"": 9.153351286689102}"
1.0,2,8.246492374115151,0.4278602303769178,15,"{""a"": 0.4278602303769178, ""c"": 0.49696543896874207, ""r2"": 0.7286409999402973, ""T"": 8.246492374115151}"
1.0,3,9.246277452740742,0.41535494486671853,15,"{""a"": 0.41535494486671853, ""c"": 0.49161617115325573, ""r2"": 0.6405928058504284, ""T"": 9.246277452740742}"
1.0,4,8.767629785253453,0.437298960270775,15,"{""a"": 0.437298960270775, ""c"": 0.4817023681736692, ""r2"": 0.6844904860052823, ""T"": 8.767629785253453}"
1.0,5,10.01091118137674,0.4143805520000251,15,"{""a"": 0.4143805520000251, ""c"": 0.4911704828123384, ""r2"": 0.6746003160279912, ""T"": 10.01091118137674}"
1.0,6,9.510150944571155,0.43685037709141444,15,"{""a"": 0.43685037709141444, ""c"": 0.4910834752004907, ""r2"": 0.7160475082091403, ""T"": 9.510150944571155}"
1.0,7,9.146896544702678,0.44819261346262135,15,"{""a"": 0.44819261346262135, ""c"": 0.48219654651997124, ""r2"": 0.7559284382368894, ""T"": 9.146896544702678}"
1.0,8,8.936697134545376,0.4150874923253565,15,"{""a"": 0.4150874923253565, ""c"": 0.4939303244970872, ""r2"": 0.6891046264575955, ""T"": 8.936697134545376}"
1.0,9,0.33094548868450097,0.39178574494111473,15,"{""a"": 0.39178574494111473, ""c"": 0.5162142833743718, ""r2"": 0.5388189413602449, ""T"": 0.33094548868450097}"
